#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"LocalKdc","System.ServiceProcess.ServiceController[]","False","False","False","Centre local de distribution de cl?s Kerberos","System.ServiceProcess.ServiceController[]",".","LocalKdc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"LPlatSvc","System.ServiceProcess.ServiceController[]","False","False","False","Lenovo Platform Service","System.ServiceProcess.ServiceController[]",".","LPlatSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"LSM","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire de session locale","System.ServiceProcess.ServiceController[]",".","LSM","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LTService","System.ServiceProcess.ServiceController[]","False","True","True","Service de Monitoring Solutions GA","System.ServiceProcess.ServiceController[]",".","LTService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"LTSvcMon","System.ServiceProcess.ServiceController[]","False","True","True","Service de Monitoring Solutions GA Watchdog Service","System.ServiceProcess.ServiceController[]",".","LTSvcMon","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"LxpSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service d'exp?rience linguistique","System.ServiceProcess.ServiceController[]",".","LxpSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"MapsBroker","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire de cartes t?l?charg?","System.ServiceProcess.ServiceController[]",".","MapsBroker","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"McmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de gestion de la connectivit? mobile","System.ServiceProcess.ServiceController[]",".","McmSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"McpManagementService","System.ServiceProcess.ServiceController[]","False","False","False","McpManagementService","System.ServiceProcess.ServiceController[]",".","McpManagementService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"MDCoreSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Defender Service de base","System.ServiceProcess.ServiceController[]",".","MDCoreSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"MessagingService_213269","System.ServiceProcess.ServiceController[]","False","False","False","MessagingService_213269","System.ServiceProcess.ServiceController[]",".","MessagingService_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","System.ServiceProcess.ServiceController[]",".","MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"midisrv","System.ServiceProcess.ServiceController[]","False","False","False","Service MIDI de Windows","System.ServiceProcess.ServiceController[]",".","midisrv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"mpssvc","System.ServiceProcess.ServiceController[]","False","False","False","Pare-feu Windows?Defender",,".","mpssvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"MSDTC","System.ServiceProcess.ServiceController[]","False","False","False","Coordinateur de transactions distribu?es","System.ServiceProcess.ServiceController[]",".","MSDTC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"MSiSCSI","System.ServiceProcess.ServiceController[]","False","False","False","Service Initiateur iSCSI de Microsoft","System.ServiceProcess.ServiceController[]",".","MSiSCSI","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"msiserver","System.ServiceProcess.ServiceController[]","False","False","False","Windows Installer","System.ServiceProcess.ServiceController[]",".","msiserver","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"MsKeyboardFilter","System.ServiceProcess.ServiceController[]","False","False","False","Filtre clavier Microsoft","System.ServiceProcess.ServiceController[]",".","MsKeyboardFilter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"NaturalAuthentication","System.ServiceProcess.ServiceController[]","False","False","False","Authentification naturelle","System.ServiceProcess.ServiceController[]",".","NaturalAuthentication","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"NcaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Assistant Connectivit? r?seau","System.ServiceProcess.ServiceController[]",".","NcaSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcbService","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker pour les connexions r?seau","System.ServiceProcess.ServiceController[]",".","NcbService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcdAutoSetup","System.ServiceProcess.ServiceController[]","False","False","False","Configuration automatique des p?riph?riques connect?s au r?seau","System.ServiceProcess.ServiceController[]",".","NcdAutoSetup","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Netlogon","System.ServiceProcess.ServiceController[]","True","False","True","Netlogon","System.ServiceProcess.ServiceController[]",".","Netlogon","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"Netman","System.ServiceProcess.ServiceController[]","False","False","True","Connexions r?seau","System.ServiceProcess.ServiceController[]",".","Netman","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"netprofm","System.ServiceProcess.ServiceController[]","False","False","True","Service de Liste des r?seaux","System.ServiceProcess.ServiceController[]",".","netprofm","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetSetupSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de Configuration du r?seau","System.ServiceProcess.ServiceController[]",".","NetSetupSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetTcpPortSharing","System.ServiceProcess.ServiceController[]","False","False","False","Service de partage de ports Net.Tcp","System.ServiceProcess.ServiceController[]",".","NetTcpPortSharing","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"NgcCtnrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Passport Container",,".","NgcCtnrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcSvc","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Passport",,".","NgcSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NlaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Connaissance des emplacements r?seau","System.ServiceProcess.ServiceController[]",".","NlaSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"NPSMSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","Lecture en cours du service du Responsable de la session_213269","System.ServiceProcess.ServiceController[]",".","NPSMSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
"nsi","System.ServiceProcess.ServiceController[]","False","False","True","Service Interface du magasin r?seau","System.ServiceProcess.ServiceController[]",".","nsi","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"OneDrive Updater Service","System.ServiceProcess.ServiceController[]","False","False","False","OneDrive Updater Service","System.ServiceProcess.ServiceController[]",".","OneDrive Updater Service","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"OneSyncSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","H?te de synchronisation_213269","System.ServiceProcess.ServiceController[]",".","OneSyncSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","224","Automatic",,
"P9RdrService_213269","System.ServiceProcess.ServiceController[]","False","False","False","P9RdrService_213269","System.ServiceProcess.ServiceController[]",".","P9RdrService_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"PcaSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service de l?Assistant Compatibilit? des programmes","System.ServiceProcess.ServiceController[]",".","PcaSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PeerDistSvc","System.ServiceProcess.ServiceController[]","False","False","False","BranchCache","System.ServiceProcess.ServiceController[]",".","PeerDistSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"PenService_213269","System.ServiceProcess.ServiceController[]","False","False","False","PenService_213269","System.ServiceProcess.ServiceController[]",".","PenService_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"perceptionsimulation","System.ServiceProcess.ServiceController[]","False","False","False","Service de simulation de perception Windows","System.ServiceProcess.ServiceController[]",".","perceptionsimulation","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"PerfHost","System.ServiceProcess.ServiceController[]","False","False","False","H?te de DLL de compteur de performance","System.ServiceProcess.ServiceController[]",".","PerfHost","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"PhoneSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service t?l?phonique","System.ServiceProcess.ServiceController[]",".","PhoneSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PimIndexMaintenanceSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","Coordonn?es_213269","System.ServiceProcess.ServiceController[]",".","PimIndexMaintenanceSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","224","Manual",,
"pla","System.ServiceProcess.ServiceController[]","False","False","False","Journaux & alertes de performance",,".","pla","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"PlugPlay","System.ServiceProcess.ServiceController[]","False","True","True","Plug-and-Play","System.ServiceProcess.ServiceController[]",".","PlugPlay","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"PolicyAgent","System.ServiceProcess.ServiceController[]","False","True","True","Agent de strat?gie IPsec","System.ServiceProcess.ServiceController[]",".","PolicyAgent","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Power","System.ServiceProcess.ServiceController[]","False","False","False","Alimentation","System.ServiceProcess.ServiceController[]",".","Power","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"PrintDeviceConfigurationService","System.ServiceProcess.ServiceController[]","False","False","False","Service de configuration du p?riph?rique d?impression","System.ServiceProcess.ServiceController[]",".","PrintDeviceConfigurationService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"PrintNotify","System.ServiceProcess.ServiceController[]","False","False","False","Extensions et notifications d?imprimante","System.ServiceProcess.ServiceController[]",".","PrintNotify","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess, InteractiveProcess","Manual",,
"PrintScanBrokerService","System.ServiceProcess.ServiceController[]","False","False","False","PrintScanBrokerService","System.ServiceProcess.ServiceController[]",".","PrintScanBrokerService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"PrintWorkflowUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","False","PrintWorkflow_213269","System.ServiceProcess.ServiceController[]",".","PrintWorkflowUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"ProfSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service de profil utilisateur","System.ServiceProcess.ServiceController[]",".","ProfSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PushToInstall","System.ServiceProcess.ServiceController[]","False","False","False","Service PushToInstall de Windows","System.ServiceProcess.ServiceController[]",".","PushToInstall","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"QWAVE","System.ServiceProcess.ServiceController[]","False","False","False","Exp?rience audio-vid?o haute qualit? Windows","System.ServiceProcess.ServiceController[]",".","QWAVE","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"RasAuto","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire des connexions automatiques d?acc?s ? distance","System.ServiceProcess.ServiceController[]",".","RasAuto","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"RasMan","System.ServiceProcess.ServiceController[]","False","True","True","Gestionnaire des connexions d?acc?s ? distance","System.ServiceProcess.ServiceController[]",".","RasMan","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"refsdedupsvc","System.ServiceProcess.ServiceController[]","False","False","False","ReFS Dedup Service","System.ServiceProcess.ServiceController[]",".","refsdedupsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"RemoteAccess","System.ServiceProcess.ServiceController[]","False","False","False","Routage et acc?s distant","System.ServiceProcess.ServiceController[]",".","RemoteAccess","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"RemoteRegistry","System.ServiceProcess.ServiceController[]","False","False","False","Registre ? distance","System.ServiceProcess.ServiceController[]",".","RemoteRegistry","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"RetailDemo","System.ServiceProcess.ServiceController[]","False","False","False","Service de d?mo du magasin","System.ServiceProcess.ServiceController[]",".","RetailDemo","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"RmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de gestion radio","System.ServiceProcess.ServiceController[]",".","RmSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"RpcEptMapper","System.ServiceProcess.ServiceController[]","False","False","False","Mappeur de point de terminaison RPC",,".","RpcEptMapper","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RpcLocator","System.ServiceProcess.ServiceController[]","False","False","False","Localisateur d?appels de proc?dure distante (RPC)","System.ServiceProcess.ServiceController[]",".","RpcLocator","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"RpcSs","System.ServiceProcess.ServiceController[]","False","False","False","Appel de proc?dure distante (RPC)",,".","RpcSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RtkBtManServ","System.ServiceProcess.ServiceController[]","False","True","True","Realtek Bluetooth Device Manager Service","System.ServiceProcess.ServiceController[]",".","RtkBtManServ","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SamSs","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire de comptes de s?curit?","System.ServiceProcess.ServiceController[]",".","SamSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"SCardSvr","System.ServiceProcess.ServiceController[]","False","False","False","Carte ? puce","System.ServiceProcess.ServiceController[]",".","SCardSvr","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ScDeviceEnum","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card Device Enumeration Service","System.ServiceProcess.ServiceController[]",".","ScDeviceEnum","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Schedule","System.ServiceProcess.ServiceController[]","False","True","True","Planificateur de t?ches","System.ServiceProcess.ServiceController[]",".","Schedule","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SCPolicySvc","System.ServiceProcess.ServiceController[]","False","False","False","Strat?gie de retrait de la carte ? puce","System.ServiceProcess.ServiceController[]",".","SCPolicySvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ScreenConnect Client (4e42e9118f897318)","System.ServiceProcess.ServiceController[]","False","True","True","ScreenConnect Client (4e42e9118f897318)","System.ServiceProcess.ServiceController[]",".","ScreenConnect Client (4e42e9118f897318)","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SDRSVC","System.ServiceProcess.ServiceController[]","False","False","False","Windows Backup","System.ServiceProcess.ServiceController[]",".","SDRSVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"seclogon","System.ServiceProcess.ServiceController[]","False","False","False","Ouverture de session secondaire","System.ServiceProcess.ServiceController[]",".","seclogon","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SecurityHealthService","System.ServiceProcess.ServiceController[]","False","False","False","Service S?curit? Windows","System.ServiceProcess.ServiceController[]",".","SecurityHealthService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"SEMgrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Payments and NFC/SE Manager","System.ServiceProcess.ServiceController[]",".","SEMgrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SenaryAudioApp.Svc","System.ServiceProcess.ServiceController[]","False","True","True","SenaryAudioApp.Svc","System.ServiceProcess.ServiceController[]",".","SenaryAudioApp.Svc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SENS","System.ServiceProcess.ServiceController[]","False","False","True","Service de notification d??v?nements syst?me","System.ServiceProcess.ServiceController[]",".","SENS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Sense","System.ServiceProcess.ServiceController[]","False","False","False","Sense","System.ServiceProcess.ServiceController[]",".","Sense","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SensorDataService","System.ServiceProcess.ServiceController[]","False","False","False","Service Donn?es de capteur","System.ServiceProcess.ServiceController[]",".","SensorDataService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SensorService","System.ServiceProcess.ServiceController[]","False","False","True","Sensor Service","System.ServiceProcess.ServiceController[]",".","SensorService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SensrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de surveillance des capteurs","System.ServiceProcess.ServiceController[]",".","SensrSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SessionEnv","System.ServiceProcess.ServiceController[]","False","False","True","Configuration des services Bureau ? distance","System.ServiceProcess.ServiceController[]",".","SessionEnv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SessionSvc","System.ServiceProcess.ServiceController[]","False","False","True","Session Detection","System.ServiceProcess.ServiceController[]",".","SessionSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SharedAccess","System.ServiceProcess.ServiceController[]","False","False","False","Partage de connexion Internet (ICS)","System.ServiceProcess.ServiceController[]",".","SharedAccess","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ShellHWDetection","System.ServiceProcess.ServiceController[]","False","False","True","D?tection mat?rielle du shell","System.ServiceProcess.ServiceController[]",".","ShellHWDetection","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"shpamsvc","System.ServiceProcess.ServiceController[]","False","False","False","Shared PC Account Manager","System.ServiceProcess.ServiceController[]",".","shpamsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"smphost","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Storage Spaces SMP","System.ServiceProcess.ServiceController[]",".","smphost","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SmsRouter","System.ServiceProcess.ServiceController[]","False","False","False","Service Routeur SMS Microsoft Windows.",,".","SmsRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SNMPTrap","System.ServiceProcess.ServiceController[]","False","False","False","Interruption SNMP","System.ServiceProcess.ServiceController[]",".","SNMPTrap","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SntpService","System.ServiceProcess.ServiceController[]","False","True","False","Sophos Network Threat Protection","System.ServiceProcess.ServiceController[]",".","SntpService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"Sophos Endpoint Defense Service","System.ServiceProcess.ServiceController[]","False","True","False","Sophos Endpoint Defense Service","System.ServiceProcess.ServiceController[]",".","Sophos Endpoint Defense Service","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"Sophos File Scanner Service","System.ServiceProcess.ServiceController[]","False","True","False","Sophos File Scanner Service","System.ServiceProcess.ServiceController[]",".","Sophos File Scanner Service","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"Sophos MCS Agent","System.ServiceProcess.ServiceController[]","False","True","False","Sophos MCS Agent","System.ServiceProcess.ServiceController[]",".","Sophos MCS Agent","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"Sophos MCS Client","System.ServiceProcess.ServiceController[]","False","True","False","Sophos MCS Client","System.ServiceProcess.ServiceController[]",".","Sophos MCS Client","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"Spooler","System.ServiceProcess.ServiceController[]","False","False","True","Spouleur d?impression","System.ServiceProcess.ServiceController[]",".","Spooler","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"sppsvc","System.ServiceProcess.ServiceController[]","False","True","True","Protection logicielle","System.ServiceProcess.ServiceController[]",".","sppsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SSDPSRV","System.ServiceProcess.ServiceController[]","False","True","True","D?couverte SSDP","System.ServiceProcess.ServiceController[]",".","SSDPSRV","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ssh-agent","System.ServiceProcess.ServiceController[]","False","False","False","OpenSSH Authentication Agent","System.ServiceProcess.ServiceController[]",".","ssh-agent","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"SstpSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service?SSTP (Secure Socket Tunneling Protocol)","System.ServiceProcess.ServiceController[]",".","SstpSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"StateRepository","System.ServiceProcess.ServiceController[]","False","True","True","State Repository Service","System.ServiceProcess.ServiceController[]",".","StateRepository","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"StiSvc","System.ServiceProcess.ServiceController[]","True","True","True","Acquisition d?images Windows (WIA)","System.ServiceProcess.ServiceController[]",".","StiSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"StorSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de stockage","System.ServiceProcess.ServiceController[]",".","StorSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"SUService","System.ServiceProcess.ServiceController[]","False","False","False","System Update","System.ServiceProcess.ServiceController[]",".","SUService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"svsvc","System.ServiceProcess.ServiceController[]","False","False","False","V?rificateur de points","System.ServiceProcess.ServiceController[]",".","svsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"swprv","System.ServiceProcess.ServiceController[]","False","False","False","Fournisseur de clich? instantan? de logiciel Microsoft","System.ServiceProcess.ServiceController[]",".","swprv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SysMain","System.ServiceProcess.ServiceController[]","False","True","True","SysMain","System.ServiceProcess.ServiceController[]",".","SysMain","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SystemEventsBroker","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker des ?v?nements syst?me",,".","SystemEventsBroker","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"TapiSrv","System.ServiceProcess.ServiceController[]","False","False","False","T?l?phonie","System.ServiceProcess.ServiceController[]",".","TapiSrv","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"TeamViewer","System.ServiceProcess.ServiceController[]","False","True","True","TeamViewer","System.ServiceProcess.ServiceController[]",".","TeamViewer","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"TermService","System.ServiceProcess.ServiceController[]","False","True","True","Services Bureau ? distance","System.ServiceProcess.ServiceController[]",".","TermService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"TextInputManagementService","System.ServiceProcess.ServiceController[]","False","False","False","Service de gestion des entr?es de texte","System.ServiceProcess.ServiceController[]",".","TextInputManagementService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Themes","System.ServiceProcess.ServiceController[]","False","False","True","Th?mes","System.ServiceProcess.ServiceController[]",".","Themes","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"TieringEngineService","System.ServiceProcess.ServiceController[]","False","False","False","Gestion des niveaux de stockage","System.ServiceProcess.ServiceController[]",".","TieringEngineService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"TimeBrokerSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker pour les ?v?nements horaires",,".","TimeBrokerSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"TokenBroker","System.ServiceProcess.ServiceController[]","False","False","True","Web Account Manager","System.ServiceProcess.ServiceController[]",".","TokenBroker","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"TPHKLOAD","System.ServiceProcess.ServiceController[]","False","False","True","Lenovo Hotkey Client Loader","System.ServiceProcess.ServiceController[]",".","TPHKLOAD","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"TrkWks","System.ServiceProcess.ServiceController[]","False","True","True","Client de suivi de lien distribu?","System.ServiceProcess.ServiceController[]",".","TrkWks","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"TroubleshootingSvc","System.ServiceProcess.ServiceController[]","False","False","False","Service de r?solution des probl?mes recommand?","System.ServiceProcess.ServiceController[]",".","TroubleshootingSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"TrustedInstaller","System.ServiceProcess.ServiceController[]","False","False","False","Windows Modules Installer","System.ServiceProcess.ServiceController[]",".","TrustedInstaller","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"tzautoupdate","System.ServiceProcess.ServiceController[]","False","False","False","Programme de mise ? jour automatique du fuseau horaire","System.ServiceProcess.ServiceController[]",".","tzautoupdate","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Disabled",,
"UdkUserSvc_213269","System.ServiceProcess.ServiceController[]","False","False","True","Service utilisateur du kit de d?veloppement sans station d?accueil_213269","System.ServiceProcess.ServiceController[]",".","UdkUserSvc_213269","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
